"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"엘레나 리바키나","500+","2026년 3월 26일 AM 5시 0분 0초 UTC+9","2026년 3월 26일 AM 8시 0분 0초 UTC+9","엘레나 리바키나","./explore?q=%EC%97%98%EB%A0%88%EB%82%98%20%EB%A6%AC%EB%B0%94%ED%82%A4%EB%82%98&geo=KR"
"뉴캐슬 대 선덜랜드","1만+","2026년 3월 22일 PM 8시 10분 0초 UTC+9","2026년 3월 23일 PM 1시 40분 0초 UTC+9","뉴캐슬 대 선덜랜드,선덜랜드","./explore?q=%EB%89%B4%EC%BA%90%EC%8A%AC%20%EB%8C%80%20%EC%84%A0%EB%8D%9C%EB%9E%9C%EB%93%9C&geo=KR"
"살라","1천+","2026년 3월 25일 AM 7시 20분 0초 UTC+9","2026년 3월 26일 AM 8시 20분 0초 UTC+9","살라","./explore?q=%EC%82%B4%EB%9D%BC&geo=KR"
"노동절","5천+","2026년 3월 24일 AM 11시 30분 0초 UTC+9","2026년 3월 25일 PM 6시 10분 0초 UTC+9","노동절,5월 1일 공휴일,5월 1일,근로자의 날,노동절 공휴일,근로자의날,5월1일,5월1일 공휴일","./explore?q=%EB%85%B8%EB%8F%99%EC%A0%88&geo=KR"
"에버턴 대 첼시","2만+","2026년 3월 22일 AM 1시 40분 0초 UTC+9","2026년 3월 23일 AM 8시 30분 0초 UTC+9","에버턴 대 첼시,에버튼","./explore?q=%EC%97%90%EB%B2%84%ED%84%B4%20%EB%8C%80%20%EC%B2%BC%EC%8B%9C&geo=KR"
"바르셀로나 대 라요","1만+","2026년 3월 22일 PM 9시 10분 0초 UTC+9","2026년 3월 23일 PM 7시 10분 0초 UTC+9","바르셀로나 대 라요,라리가","./explore?q=%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98%20%EB%8C%80%20%EB%9D%BC%EC%9A%94&geo=KR"
"김부겸","1천+","2026년 3월 25일 PM 12시 10분 0초 UTC+9","2026년 3월 26일 AM 8시 50분 0초 UTC+9","김부겸,국민의힘","./explore?q=%EA%B9%80%EB%B6%80%EA%B2%B8&geo=KR"
"독도","1천+","2026년 3월 26일 AM 9시 50분 0초 UTC+9","2026년 3월 26일 AM 10시 30분 0초 UTC+9","독도","./explore?q=%EB%8F%85%EB%8F%84&geo=KR"
"이디야 포켓몬","100+","2026년 3월 26일 AM 8시 30분 0초 UTC+9","2026년 3월 26일 AM 10시 50분 0초 UTC+9","이디야 포켓몬","./explore?q=%EC%9D%B4%EB%94%94%EC%95%BC%20%ED%8F%AC%EC%BC%93%EB%AA%AC&geo=KR"
"박홍근","2천+","2026년 3월 23일 AM 11시 30분 0초 UTC+9","2026년 3월 25일 AM 8시 20분 0초 UTC+9","박홍근","./explore?q=%EB%B0%95%ED%99%8D%EA%B7%BC&geo=KR"
"삼천당제약","2천+","2026년 3월 24일 AM 9시 0분 0초 UTC+9","2026년 3월 26일 AM 11시 0분 0초 UTC+9","삼천당제약,삼천당제약 주가","./explore?q=%EC%82%BC%EC%B2%9C%EB%8B%B9%EC%A0%9C%EC%95%BD&geo=KR"
"뉴욕 시티 대 인터 마이애미","1만+","2026년 3월 23일 AM 1시 10분 0초 UTC+9","2026년 3월 23일 PM 4시 20분 0초 UTC+9","뉴욕 시티 대 인터 마이애미","./explore?q=%EB%89%B4%EC%9A%95%20%EC%8B%9C%ED%8B%B0%20%EB%8C%80%20%EC%9D%B8%ED%84%B0%20%EB%A7%88%EC%9D%B4%EC%95%A0%EB%AF%B8&geo=KR"
"애스턴 빌라 대 웨스트 햄","1만+","2026년 3월 22일 PM 10시 20분 0초 UTC+9","2026년 3월 23일 PM 1시 10분 0초 UTC+9","애스턴 빌라 대 웨스트 햄,아스톤빌라","./explore?q=%EC%95%A0%EC%8A%A4%ED%84%B4%20%EB%B9%8C%EB%9D%BC%20%EB%8C%80%20%EC%9B%A8%EC%8A%A4%ED%8A%B8%20%ED%96%84&geo=KR"
"라이언 고슬링","200+","2026년 3월 25일 PM 10시 50분 0초 UTC+9","2026년 3월 26일 AM 11시 0분 0초 UTC+9","라이언 고슬링","./explore?q=%EB%9D%BC%EC%9D%B4%EC%96%B8%20%EA%B3%A0%EC%8A%AC%EB%A7%81&geo=KR"
"피닉스 대 덴버","2천+","2026년 3월 25일 PM 12시 10분 0초 UTC+9","2026년 3월 25일 PM 6시 20분 0초 UTC+9","피닉스 대 덴버,덴버 대 포틀랜드","./explore?q=%ED%94%BC%EB%8B%89%EC%8A%A4%20%EB%8C%80%20%EB%8D%B4%EB%B2%84&geo=KR"
"서울 sk 대 고양 소노","2천+","2026년 3월 25일 PM 7시 0분 0초 UTC+9","2026년 3월 25일 PM 10시 50분 0초 UTC+9","서울 sk 대 고양 소노,고양 소노 대 부산 kcc,고양 소노 대 울산 현대모비스,kbl","./explore?q=%EC%84%9C%EC%9A%B8%20sk%20%EB%8C%80%20%EA%B3%A0%EC%96%91%20%EC%86%8C%EB%85%B8&geo=KR"
"댈러스 대 골든 스테이트","2천+","2026년 3월 24일 AM 10시 10분 0초 UTC+9","2026년 3월 24일 PM 8시 10분 0초 UTC+9","댈러스 대 골든 스테이트","./explore?q=%EB%8C%88%EB%9F%AC%EC%8A%A4%20%EB%8C%80%20%EA%B3%A8%EB%93%A0%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8&geo=KR"
"스피어","200+","2026년 3월 26일 AM 8시 50분 0초 UTC+9","2026년 3월 26일 AM 10시 0분 0초 UTC+9","스피어","./explore?q=%EC%8A%A4%ED%94%BC%EC%96%B4&geo=KR"
"김동환","1천+","2026년 3월 24일 PM 5시 20분 0초 UTC+9","2026년 3월 26일 AM 6시 20분 0초 UTC+9","김동환,김동환 부기장","./explore?q=%EA%B9%80%EB%8F%99%ED%99%98&geo=KR"
"둘리사우루스","5천+","2026년 3월 19일 PM 11시 10분 0초 UTC+9","2026년 3월 23일 AM 5시 10분 0초 UTC+9","둘리사우루스,둘리사우르스,둘리","./explore?q=%EB%91%98%EB%A6%AC%EC%82%AC%EC%9A%B0%EB%A3%A8%EC%8A%A4&geo=KR"
"fc 서울 대 광주","1만+","2026년 3월 22일 PM 1시 10분 0초 UTC+9","2026년 3월 23일 PM 2시 0분 0초 UTC+9","fc 서울 대 광주,fc서울,fc 서울,정승원","./explore?q=fc%20%EC%84%9C%EC%9A%B8%20%EB%8C%80%20%EA%B4%91%EC%A3%BC&geo=KR"
"한패스","1천+","2026년 3월 25일 AM 8시 40분 0초 UTC+9","2026년 3월 25일 PM 4시 10분 0초 UTC+9","한패스","./explore?q=%ED%95%9C%ED%8C%A8%EC%8A%A4&geo=KR"
"척 노리스","5천+","2026년 3월 20일 PM 11시 20분 0초 UTC+9","2026년 3월 23일 PM 1시 30분 0초 UTC+9","척 노리스,척노리스","./explore?q=%EC%B2%99%20%EB%85%B8%EB%A6%AC%EC%8A%A4&geo=KR"
"트럼프","1만+","2026년 3월 23일 PM 8시 0분 0초 UTC+9","2026년 3월 24일 AM 11시 10분 0초 UTC+9","트럼프,미국 이란,트럼프 이란,트럼프 48시간,이란,미국,종전,휴전,이란 미국,전쟁,이란 전쟁,미국 시간,미국 이란 전쟁,이란전쟁,이란전쟁 속보","./explore?q=%ED%8A%B8%EB%9F%BC%ED%94%84&geo=KR"
"한화시스템 채용","500+","2026년 3월 25일 PM 10시 20분 0초 UTC+9","2026년 3월 26일 AM 5시 30분 0초 UTC+9","한화시스템 채용,한화시스템","./explore?q=%ED%95%9C%ED%99%94%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EC%B1%84%EC%9A%A9&geo=KR"
"진","2천+","2026년 3월 21일 AM 9시 10분 0초 UTC+9","2026년 3월 26일 AM 8시 40분 0초 UTC+9","진","./explore?q=%EC%A7%84&geo=KR"
"알테오젠","500+","2026년 3월 25일 PM 5시 10분 0초 UTC+9","2026년 3월 26일 AM 10시 30분 0초 UTC+9","알테오젠","./explore?q=%EC%95%8C%ED%85%8C%EC%98%A4%EC%A0%A0&geo=KR"
"이진숙","2천+","2026년 3월 22일 PM 7시 10분 0초 UTC+9","2026년 3월 25일 AM 6시 40분 0초 UTC+9","이진숙,주호영,이진숙 컷오프,컷오프","./explore?q=%EC%9D%B4%EC%A7%84%EC%88%99&geo=KR"
"chuck norris","5천+","2026년 3월 20일 PM 11시 10분 0초 UTC+9","2026년 3월 23일 AM 1시 0분 0초 UTC+9","chuck norris","./explore?q=chuck%20norris&geo=KR"
"정국","5천+","2026년 3월 20일 PM 7시 50분 0초 UTC+9","2026년 3월 23일 AM 8시 30분 0초 UTC+9","정국","./explore?q=%EC%A0%95%EA%B5%AD&geo=KR"
"지경선","2천+","2026년 3월 21일 PM 11시 0분 0초 UTC+9","2026년 3월 23일 PM 11시 10분 0초 UTC+9","지경선,김대희","./explore?q=%EC%A7%80%EA%B2%BD%EC%84%A0&geo=KR"
"미트윌란 대 노팅엄 포레스트","1만+","2026년 3월 20일 AM 1시 50분 0초 UTC+9","2026년 3월 20일 PM 6시 50분 0초 UTC+9","미트윌란 대 노팅엄 포레스트,유로파리그,미트윌란,유로파,노팅엄","./explore?q=%EB%AF%B8%ED%8A%B8%EC%9C%8C%EB%9E%80%20%EB%8C%80%20%EB%85%B8%ED%8C%85%EC%97%84%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8&geo=KR"
"풀럼 대 번리","5천+","2026년 3월 21일 PM 11시 10분 0초 UTC+9","2026년 3월 22일 PM 8시 50분 0초 UTC+9","풀럼 대 번리","./explore?q=%ED%92%80%EB%9F%BC%20%EB%8C%80%20%EB%B2%88%EB%A6%AC&geo=KR"
"넷플릭스","2만+","2026년 3월 21일 PM 6시 30분 0초 UTC+9","2026년 3월 21일 PM 10시 20분 0초 UTC+9","넷플릭스,신명","./explore?q=%EB%84%B7%ED%94%8C%EB%A6%AD%EC%8A%A4&geo=KR"
"대전 대 전북","1만+","2026년 3월 21일 PM 1시 10분 0초 UTC+9","2026년 3월 21일 PM 11시 0분 0초 UTC+9","대전 대 전북","./explore?q=%EB%8C%80%EC%A0%84%20%EB%8C%80%20%EC%A0%84%EB%B6%81&geo=KR"
"애스턴 빌라 대 losc 릴","1만+","2026년 3월 20일 AM 4시 20분 0초 UTC+9","2026년 3월 21일 AM 7시 20분 0초 UTC+9","애스턴 빌라 대 losc 릴","./explore?q=%EC%95%A0%EC%8A%A4%ED%84%B4%20%EB%B9%8C%EB%9D%BC%20%EB%8C%80%20losc%20%EB%A6%B4&geo=KR"
"g2","2천+","2026년 3월 21일 PM 10시 10분 0초 UTC+9","2026년 3월 23일 AM 9시 10분 0초 UTC+9","g2,g2 blg,blg","./explore?q=g2&geo=KR"
"김병세","2천+","2026년 3월 22일 PM 9시 10분 0초 UTC+9","2026년 3월 24일 PM 10시 50분 0초 UTC+9","김병세,김병세 나이","./explore?q=%EA%B9%80%EB%B3%91%EC%84%B8&geo=KR"
"붉은사막 패치","5천+","2026년 3월 23일 AM 10시 10분 0초 UTC+9","2026년 3월 24일 AM 6시 10분 0초 UTC+9","붉은사막 패치,붉은사막 ai,붉은사막 스팀,붉은사막 인벤,붉은사막 환불,붉은사막 판매량,붉은사막 평가,검은사막,붉은사막 오픈시간,붉은사막 창고","./explore?q=%EB%B6%89%EC%9D%80%EC%82%AC%EB%A7%89%20%ED%8C%A8%EC%B9%98&geo=KR"
"하이브 주가","2천+","2026년 3월 23일 AM 9시 10분 0초 UTC+9","2026년 3월 24일 PM 7시 50분 0초 UTC+9","하이브 주가,하이브","./explore?q=%ED%95%98%EC%9D%B4%EB%B8%8C%20%EC%A3%BC%EA%B0%80&geo=KR"
"캐치","2천+","2026년 3월 24일 PM 3시 0분 0초 UTC+9","2026년 3월 25일 AM 12시 40분 0초 UTC+9","캐치,채용플랫폼 캐치,캐치 개인정보","./explore?q=%EC%BA%90%EC%B9%98&geo=KR"
"kagi","2천+","2026년 3월 20일 PM 1시 30분 0초 UTC+9","2026년 3월 24일 AM 1시 50분 0초 UTC+9","kagi","./explore?q=kagi&geo=KR"
"금시세","2천+","2026년 3월 26일 AM 6시 40분 0초 UTC+9","2026년 3월 26일 AM 7시 30분 0초 UTC+9","금시세,금값시세,금값,금 시세,금,오늘의 금시세,연합뉴스,오늘금시세","./explore?q=%EA%B8%88%EC%8B%9C%EC%84%B8&geo=KR"
"젠지","5천+","2026년 3월 21일 PM 11시 10분 0초 UTC+9","2026년 3월 23일 AM 1시 50분 0초 UTC+9","젠지,젠지 g2,퍼스트 스탠드,한스사마,양대인,바이퍼,쵸비,롤 퍼스트 스탠드","./explore?q=%EC%A0%A0%EC%A7%80&geo=KR"
"안양 대 인천","5천+","2026년 3월 22일 PM 3시 40분 0초 UTC+9","2026년 3월 23일 PM 1시 20분 0초 UTC+9","안양 대 인천","./explore?q=%EC%95%88%EC%96%91%20%EB%8C%80%20%EC%9D%B8%EC%B2%9C&geo=KR"
"디트로이트 대 la 레이커스","2천+","2026년 3월 24일 AM 7시 40분 0초 UTC+9","2026년 3월 24일 PM 1시 30분 0초 UTC+9","디트로이트 대 la 레이커스","./explore?q=%EB%94%94%ED%8A%B8%EB%A1%9C%EC%9D%B4%ED%8A%B8%20%EB%8C%80%20la%20%EB%A0%88%EC%9D%B4%EC%BB%A4%EC%8A%A4&geo=KR"
"강원 대 제주","5천+","2026년 3월 22일 PM 3시 50분 0초 UTC+9","2026년 3월 23일 PM 1시 0분 0초 UTC+9","강원 대 제주","./explore?q=%EA%B0%95%EC%9B%90%20%EB%8C%80%20%EC%A0%9C%EC%A3%BC&geo=KR"
"30기 현커","200+","2026년 3월 26일 AM 6시 40분 0초 UTC+9","2026년 3월 26일 AM 8시 10분 0초 UTC+9","30기 현커,나는솔로","./explore?q=30%EA%B8%B0%20%ED%98%84%EC%BB%A4&geo=KR"
"카카오게임즈","1천+","2026년 3월 25일 AM 8시 50분 0초 UTC+9","2026년 3월 25일 PM 1시 30분 0초 UTC+9","카카오게임즈,라인야후","./explore?q=%EC%B9%B4%EC%B9%B4%EC%98%A4%EA%B2%8C%EC%9E%84%EC%A6%88&geo=KR"
"张雪峰","500+","2026년 3월 24일 PM 9시 50분 0초 UTC+9","2026년 3월 25일 AM 10시 30분 0초 UTC+9","张雪峰","./explore?q=%E5%BC%A0%E9%9B%AA%E5%B3%B0&geo=KR"
"women’s march madness","2천+","2026년 3월 20일 PM 2시 50분 0초 UTC+9","2026년 3월 21일 PM 2시 0분 0초 UTC+9","women’s march madness,1","./explore?q=women%E2%80%99s%20march%20madness&geo=KR"
"arsenal vs man city","2천+","2026년 3월 23일 AM 12시 40분 0초 UTC+9","2026년 3월 23일 AM 10시 20분 0초 UTC+9","arsenal vs man city,man city,efl cup,carabao cup,arsenal","./explore?q=arsenal%20vs%20man%20city&geo=KR"
"rm","2천+","2026년 3월 20일 PM 4시 20분 0초 UTC+9","2026년 3월 22일 PM 10시 40분 0초 UTC+9","rm,bts rm","./explore?q=rm&geo=KR"
"울산 대 김천상무","5천+","2026년 3월 22일 PM 1시 10분 0초 UTC+9","2026년 3월 22일 PM 8시 0분 0초 UTC+9","울산 대 김천상무","./explore?q=%EC%9A%B8%EC%82%B0%20%EB%8C%80%20%EA%B9%80%EC%B2%9C%EC%83%81%EB%AC%B4&geo=KR"
"환율","5천+","2026년 3월 23일 AM 10시 0분 0초 UTC+9","2026년 3월 23일 PM 9시 30분 0초 UTC+9","환율,달러,원달러환율","./explore?q=%ED%99%98%EC%9C%A8&geo=KR"
"litellm","100+","2026년 3월 26일 AM 9시 50분 0초 UTC+9","2026년 3월 26일 AM 10시 10분 0초 UTC+9","litellm","./explore?q=litellm&geo=KR"
"장경태","2천+","2026년 3월 19일 PM 9시 30분 0초 UTC+9","2026년 3월 21일 PM 3시 20분 0초 UTC+9","장경태","./explore?q=%EC%9E%A5%EA%B2%BD%ED%83%9C&geo=KR"
"올랜도 대 la 레이커스","5천+","2026년 3월 22일 AM 8시 10분 0초 UTC+9","2026년 3월 22일 PM 5시 10분 0초 UTC+9","올랜도 대 la 레이커스,마이애미 대 la 레이커스","./explore?q=%EC%98%AC%EB%9E%9C%EB%8F%84%20%EB%8C%80%20la%20%EB%A0%88%EC%9D%B4%EC%BB%A4%EC%8A%A4&geo=KR"
